City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
87,Acarau,BR,-2.8856,-40.12,78.13,82,96,11.88,overcast clouds
88,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,83,95,9.33,overcast clouds
89,Chernushka,RU,56.5072,56.0766,-38.79,100,61,3.56,broken clouds
90,Rocha,UY,-34.4833,-54.3333,61.5,94,1,5.88,clear sky
91,Souillac,MU,-20.5167,57.5167,82.78,69,40,12.66,scattered clouds
92,Hualmay,PE,-11.0964,-77.6139,69.3,82,87,5.75,overcast clouds
93,Piacabucu,BR,-10.4056,-36.4344,75.52,86,46,7.85,scattered clouds
94,Antofagasta,CL,-23.65,-70.4,65.48,78,25,4.81,scattered clouds
95,Luderitz,NA,-26.6481,15.1594,61.14,93,50,8.39,scattered clouds
96,Tabas,IR,33.5959,56.9244,51.96,39,0,3.71,clear sky
97,Margate,GB,51.3813,1.3862,43.88,88,85,5.01,overcast clouds
98,Awbari,LY,26.5921,12.7805,45.03,66,0,3.85,clear sky
99,Lubao,PH,14.9167,120.55,86.07,58,44,11.32,scattered clouds
100,Araguaina,BR,-7.1911,-48.2072,72.77,90,61,2.55,broken clouds
101,Terra Santa,BR,-2.1042,-56.4869,75.31,79,84,2.59,broken clouds
102,Nouakchott,MR,18.0858,-15.9785,66.13,32,100,10.42,overcast clouds
103,Jos,NG,9.9167,8.9,55.47,27,93,8.05,overcast clouds
104,Ponta Do Sol,PT,32.6667,-17.1,64.71,79,2,2.53,clear sky
105,Dingle,PH,10.9995,122.6711,76.06,91,100,9.64,overcast clouds
106,Bakel,SN,14.905,-12.4568,75.65,15,100,15.77,overcast clouds
107,Lucea,JM,18.451,-78.1736,76.86,80,2,10.63,clear sky
108,Sao Filipe,CV,14.8961,-24.4956,72.45,67,0,11.52,clear sky
109,Kentau,KZ,43.5206,68.5094,27.97,66,100,6.13,snow
110,Nanortalik,GL,60.1432,-45.2371,28.09,73,100,12.28,overcast clouds
111,Svatove,UA,49.4103,38.1503,9.27,81,11,4.54,few clouds
112,Mudanya,TR,40.3753,28.8822,42.55,59,0,3.2,clear sky
113,Boddam,GB,57.4667,-1.7833,35.44,82,74,10.58,broken clouds
114,Namibe,AO,-15.1961,12.1522,70.59,78,97,4.36,overcast clouds
115,Molchanovo,RU,57.5817,83.7692,3.61,86,100,18.01,overcast clouds
116,Tasiilaq,GL,65.6145,-37.6368,19.56,59,39,8.95,scattered clouds
117,Omboue,GA,-1.5746,9.2618,73.69,93,100,7.54,light rain
118,Praia,CV,14.9215,-23.5087,70.34,73,20,17.27,few clouds
119,Walvis Bay,NA,-22.9575,14.5053,66.09,82,15,6.91,few clouds
120,Ilulissat,GL,69.2167,-51.1,3.22,66,67,3.44,broken clouds
121,Mayumba,GA,-3.432,10.6554,74.61,94,100,6.44,light rain
122,Hofn,IS,64.2539,-15.2082,37.15,67,98,18.07,overcast clouds
123,Mbini,GQ,1.574,9.6134,78.04,86,99,3.71,light rain
124,Granadilla De Abona,ES,28.1188,-16.576,57.78,68,0,8.05,clear sky
125,Dakar,SN,14.6937,-17.4441,68.88,70,100,9.33,overcast clouds
